iter	Passed	Remaining
0	144	144503
1	145	72477
2	145	48435
3	146	36414
4	146	29202
5	147	24392
6	147	20961
7	148	18385
8	148	16388
9	149	14791
10	149	13480
11	150	12387
12	150	11461
13	151	10674
14	152	9988
15	152	9385
16	153	8854
17	153	8381
18	154	7958
19	154	7584
20	155	7242
21	155	6932
22	156	6655
23	157	6402
24	158	6165
25	158	5942
26	159	5737
27	159	5546
28	160	5371
29	161	5211
30	161	5059
31	162	4911
32	162	4774
33	163	4644
34	164	4522
35	164	4407
36	165	4298
37	165	4194
38	166	4095
39	166	4003
40	167	3921
41	168	3836
42	168	3754
43	169	3676
44	169	3601
45	170	3529
46	170	3461
47	171	3395
48	171	3333
49	172	3273
50	172	3217
51	173	3162
52	174	3109
53	174	3057
54	175	3007
55	175	2958
56	176	2912
57	176	2866
58	177	2823
59	177	2780
60	177	2740
61	178	2703
62	179	2665
63	179	2628
64	180	2592
65	180	2558
66	181	2524
67	181	2491
68	182	2460
69	182	2428
70	183	2398
71	184	2371
72	184	2343
73	185	2315
74	185	2288
75	186	2262
76	186	2236
77	187	2212
78	187	2188
79	188	2164
80	188	2140
81	189	2118
82	189	2093
83	189	2071
84	190	2050
85	190	2029
86	191	2009
87	191	1989
88	192	1970
89	193	1951
90	193	1933
91	194	1915
92	194	1899
93	195	1882
94	195	1866
95	196	1850
96	197	1834
97	197	1819
98	198	1804
99	198	1790
100	199	1776
101	200	1762
102	200	1748
103	201	1735
104	202	1722
105	202	1708
106	203	1696
107	203	1684
108	204	1671
109	205	1659
110	205	1647
111	206	1635
112	206	1624
113	207	1612
114	207	1600
115	208	1589
116	208	1577
117	209	1566
118	210	1555
119	210	1545
120	211	1535
121	212	1525
122	212	1516
123	213	1506
124	213	1497
125	214	1488
126	215	1478
127	215	1468
128	216	1460
129	216	1451
130	217	1442
131	218	1434
132	218	1427
133	219	1419
134	220	1411
135	221	1404
136	221	1397
137	222	1389
138	223	1381
139	223	1373
140	224	1366
141	224	1357
142	225	1349
143	225	1341
144	226	1334
145	226	1327
146	227	1320
147	228	1313
148	228	1306
149	229	1300
150	230	1294
151	230	1287
152	231	1281
153	231	1274
154	232	1268
155	233	1261
156	233	1255
157	234	1249
158	235	1243
159	235	1237
160	236	1230
161	236	1223
162	237	1217
163	237	1211
164	238	1205
165	238	1199
166	239	1193
167	239	1188
168	240	1181
169	240	1176
170	241	1170
171	242	1166
172	242	1160
173	243	1155
174	243	1150
175	244	1145
176	245	1139
177	245	1134
178	246	1129
179	246	1125
180	247	1120
181	248	1115
182	248	1111
183	249	1106
184	249	1101
185	250	1096
186	251	1091
187	251	1086
188	252	1081
189	252	1077
190	253	1072
191	253	1067
192	254	1063
193	254	1059
194	255	1054
195	256	1050
196	256	1045
197	257	1041
198	257	1037
199	258	1032
200	258	1028
201	259	1024
202	259	1020
203	260	1016
204	261	1012
205	261	1008
206	262	1005
207	263	1001
208	263	997
209	264	993
